time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2021-07-24T02:44:22Z,161,0,0,0,0,0,3161950,1029,16061,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,2,2,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,2,72,4,31,43627672,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:45:22Z,161,0,0,0,0,0,12260692,1467,9114803,0,0,0,0,0,0,110119,0,0,0,0,0,0,0,570,13,0,316,1,6,5020,0,0,0,0,0, ,0,0,0,0,0,0,51022,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,206924376,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,272,0,44,0,544,0,0,0,0,0,0,0,0,0,0,66012,0,43442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:46:22Z,161,0,0,0,0,0,13115204,1467,9969315,0,0,0,0,0,0,30166,0,0,0,0,0,0,0,611,13,0,326,1,6,4775,0,0,0,0,0, ,0,0,0,0,0,0,30160,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,181806688,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100,0,4,0,200,0,0,0,0,0,0,0,0,0,0,26295,0,3808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:47:22Z,161,0,0,0,0,0,13591500,1467,10445611,0,0,0,0,0,0,25541,0,0,0,0,0,0,0,631,13,0,331,1,6,4760,0,0,0,0,0, ,0,0,0,0,0,0,25528,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,128812688,4,0,0,0,0,0,0,0,0,0,0,2,0,3,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,23296,0,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:48:22Z,161,0,0,0,0,0,14236460,1467,11090571,0,0,0,0,0,0,18858,0,0,0,0,0,0,0,665,14,0,350,1,6,2957,0,0,0,0,0, ,0,0,0,0,0,0,18853,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,317609304,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100,0,4,0,200,0,0,0,0,0,0,0,0,0,0,16050,0,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:49:22Z,161,0,0,0,0,0,15226276,1467,12080387,0,0,0,0,0,0,27673,0,0,0,0,0,0,0,719,15,0,380,1,6,4773,0,0,0,0,0, ,0,0,0,0,0,0,27667,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,331932760,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,150,0,6,0,300,0,0,0,0,0,0,0,0,0,0,23597,0,3998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:50:22Z,161,0,0,0,0,0,15462916,1467,12317027,0,0,0,0,0,0,24257,0,0,0,0,0,0,0,731,15,0,383,1,6,4829,0,0,0,0,0, ,0,0,0,0,0,0,24247,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,83816224,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,200,0,8,0,400,0,0,0,0,0,0,0,0,0,0,23099,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:51:22Z,161,0,0,0,0,0,15854236,1467,12708347,0,0,0,0,0,0,34812,0,0,0,0,0,0,0,747,15,0,380,1,6,6766,0,0,0,0,0, ,0,0,0,0,0,0,34801,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,146646008,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,200,0,8,0,400,0,0,0,0,0,0,0,0,0,0,32819,0,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:52:22Z,161,0,0,0,0,0,16198084,1467,13052195,0,0,0,0,0,0,36045,0,0,0,0,0,0,0,766,16,0,377,1,5,6984,0,0,0,0,0, ,0,0,0,0,0,0,36035,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,282735216,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,200,0,8,0,400,0,0,0,0,0,0,0,0,0,0,33955,0,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:53:22Z,161,0,0,0,0,0,16252068,1467,13106179,0,0,0,0,0,0,34462,0,0,0,0,0,0,0,768,16,0,373,1,5,7198,0,0,0,0,0, ,0,0,0,0,0,0,34450,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,153690752,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,200,0,8,0,400,0,0,0,0,0,0,0,0,0,0,33832,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:54:22Z,161,0,0,0,0,0,16376820,1467,13230931,0,0,0,0,0,0,35876,0,0,0,0,0,0,0,777,16,0,371,1,5,7166,0,0,0,0,0, ,0,0,0,0,0,0,35870,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,83582424,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,150,0,6,0,300,0,0,0,0,0,0,0,0,0,0,34984,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:55:22Z,161,0,0,0,0,0,16490756,1467,13344867,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,785,16,0,368,1,5,7555,0,0,0,0,0, ,0,0,0,0,0,0,36788,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,102802592,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,200,0,8,0,400,0,0,0,0,0,0,0,0,0,0,35903,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24T02:56:22Z,161,0,0,0,0,0,16587020,1467,13441131,0,0,0,0,0,0,36902,0,0,0,0,0,0,0,789,16,0,364,1,5,7685,0,0,0,0,0, ,0,0,0,0,0,0,36886,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627094662299,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,181745680,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,200,0,8,0,400,0,0,0,0,0,0,0,0,0,0,35965,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
